business_key,archetype,sector,base_monthly_revenue,opening_cash,b2b_share,n_shocks,data_label
S0027,retail_shop,Retail,1236838.43,1766492.3,0.195,2,synthetic
S0028,retail_shop,Retail,744920.01,1001651.78,0.18,3,synthetic
S0029,retail_shop,Retail,885127.13,531161.63,0.305,3,synthetic
S0030,restaurant,Hospitality,601179.67,537736.21,0.056,2,synthetic
S0031,restaurant,Hospitality,679532.51,710502.37,0.034,2,synthetic
S0032,restaurant,Hospitality,987953.65,1395196.62,0.087,2,synthetic
S0033,restaurant,Hospitality,352220.54,140909.3,0.107,4,synthetic
S0034,restaurant,Hospitality,596780.2,401564.75,0.187,3,synthetic
S0035,restaurant,Hospitality,853976.89,531189.34,0.091,6,synthetic
S0036,restaurant,Hospitality,551362.98,431672.5,0.171,2,synthetic
S0037,restaurant,Hospitality,900110.12,1006191.99,0.046,1,synthetic
S0038,restaurant,Hospitality,1084528.49,853702.01,0.159,3,synthetic
S0039,restaurant,Hospitality,553925.43,318207.85,0.073,2,synthetic
S0040,restaurant,Hospitality,649769.71,600419.14,0.09,2,synthetic
S0041,restaurant,Hospitality,860584.23,1016396.74,0.059,3,synthetic
S0042,restaurant,Hospitality,576848.82,638951.39,0.193,3,synthetic
S0043,restaurant,Hospitality,499934.14,632601.44,0.086,6,synthetic
S0044,restaurant,Hospitality,486578.14,390897.04,0.161,1,synthetic
S0045,restaurant,Hospitality,380366.64,441060.69,0.119,2,synthetic
S0046,restaurant,Hospitality,459551.13,485794.41,0.036,1,synthetic
S0047,restaurant,Hospitality,688618.43,534646.4,0.067,3,synthetic
S0048,restaurant,Hospitality,624624.84,533805.14,0.198,2,synthetic
S0049,restaurant,Hospitality,535978.3,785206.26,0.1,4,synthetic
S0050,restaurant,Hospitality,562023.32,521546.51,0.187,4,synthetic
S0051,restaurant,Hospitality,393612.06,194395.54,0.198,5,synthetic
S0052,restaurant,Hospitality,745370.44,344461.6,0.151,1,synthetic
S0053,restaurant,Hospitality,778247.45,1115336.84,0.146,1,synthetic
S0054,restaurant,Hospitality,873544.04,844924.58,0.034,5,synthetic
S0055,restaurant,Hospitality,679168.47,589058.72,0.12,8,synthetic
S0056,restaurant,Hospitality,873579.34,792097.59,0.12,2,synthetic
S0057,restaurant,Hospitality,784074.56,534831.79,0.073,2,synthetic
S0058,restaurant,Hospitality,1038157.43,820230.68,0.069,2,synthetic
S0059,restaurant,Hospitality,797952.36,657133.75,0.183,2,synthetic
S0060,salon,Personal services,292763.34,249825.58,0.062,3,synthetic
S0061,salon,Personal services,180690.45,256033.16,0.04,4,synthetic
S0062,salon,Personal services,383352.04,156524.18,0.046,2,synthetic
S0063,salon,Personal services,413426.25,449205.66,0.02,5,synthetic
S0064,salon,Personal services,240047.89,241873.96,0.068,2,synthetic
S0065,salon,Personal services,434896.54,575031.64,0.015,1,synthetic
S0066,salon,Personal services,364668.44,263255.85,0.025,5,synthetic
S0067,salon,Personal services,466405.32,581883.1,0.062,1,synthetic
S0068,salon,Personal services,226093.38,114215.66,0.011,6,synthetic
S0069,salon,Personal services,367458.35,221795.77,0.014,2,synthetic
S0070,salon,Personal services,297018.91,297284.03,0.069,1,synthetic
S0071,salon,Personal services,302271.38,206850.06,0.06,4,synthetic
S0072,salon,Personal services,393347.09,548441.69,0.062,3,synthetic
S0073,salon,Personal services,218174.63,160248.91,0.004,6,synthetic
S0074,salon,Personal services,231198.44,139580.55,0.014,2,synthetic
S0075,salon,Personal services,363071.9,163175.85,0.077,2,synthetic
S0076,salon,Personal services,253533.22,325276.14,0.05,4,synthetic
S0077,salon,Personal services,324460.31,466630.91,0.012,4,synthetic
S0078,salon,Personal services,366861.72,151881.19,0.057,2,synthetic
S0079,salon,Personal services,480713.67,566854.39,0.04,1,synthetic
S0080,salon,Personal services,400805.13,600963.86,0.023,4,synthetic
S0081,salon,Personal services,202105.5,230829.4,0.06,2,synthetic
S0082,salon,Personal services,265350.28,332737.76,0.046,0,synthetic
S0083,salon,Personal services,284832.9,158132.84,0.07,2,synthetic
S0084,salon,Personal services,344848.03,381426.51,0.029,0,synthetic
S0085,salon,Personal services,347258.01,296105.61,0.011,2,synthetic
S0086,salon,Personal services,457727.13,555254.52,0.078,3,synthetic
S0087,salon,Personal services,276162.88,165372.0,0.072,1,synthetic
S0088,salon,Personal services,212104.55,243714.8,0.047,6,synthetic
S0089,salon,Personal services,424537.63,544666.65,0.067,1,synthetic
S0090,clothing,Retail,409842.68,362298.71,0.036,2,synthetic
S0091,clothing,Retail,333198.91,294205.88,0.118,2,synthetic
S0092,clothing,Retail,893538.42,696081.93,0.102,2,synthetic
S0093,clothing,Retail,739760.03,421381.14,0.007,4,synthetic
S0094,clothing,Retail,498892.49,373610.14,0.062,2,synthetic
S0095,clothing,Retail,580537.83,214542.82,0.015,3,synthetic
S0096,clothing,Retail,458783.06,370613.37,0.073,5,synthetic
S0097,clothing,Retail,410896.53,276481.09,0.091,2,synthetic
S0098,clothing,Retail,625066.06,737581.45,0.012,3,synthetic
S0099,clothing,Retail,602133.55,908932.21,0.065,3,synthetic
S0100,clothing,Retail,432791.49,542291.46,0.012,4,synthetic
S0101,clothing,Retail,439380.04,662172.44,0.093,3,synthetic
S0102,clothing,Retail,506825.45,607085.63,0.011,2,synthetic
S0103,clothing,Retail,482017.1,322252.14,0.019,1,synthetic
S0104,clothing,Retail,305215.81,322316.11,0.046,2,synthetic
S0105,clothing,Retail,338554.55,99022.35,0.041,3,synthetic
S0106,clothing,Retail,657789.65,881547.66,0.115,3,synthetic
S0107,clothing,Retail,436761.99,557838.58,0.031,2,synthetic
S0108,clothing,Retail,392715.68,490318.45,0.067,3,synthetic
S0109,clothing,Retail,707665.66,431644.67,0.015,5,synthetic
S0110,clothing,Retail,886364.77,1079011.13,0.066,0,synthetic
S0111,clothing,Retail,856502.82,596733.83,0.012,4,synthetic
S0112,clothing,Retail,490475.02,297602.5,0.02,3,synthetic
S0113,clothing,Retail,357666.68,475408.49,0.063,2,synthetic
S0114,clothing,Retail,805434.0,411008.14,0.019,4,synthetic
S0115,clothing,Retail,677185.26,494884.2,0.003,3,synthetic
S0116,clothing,Retail,323773.21,346328.09,0.022,2,synthetic
S0117,clothing,Retail,835614.31,930259.09,0.044,4,synthetic
S0118,clothing,Retail,587937.13,771289.1,0.104,3,synthetic
S0119,clothing,Retail,592687.41,818625.43,0.036,3,synthetic
S0120,electronics,Retail,1500743.22,501024.61,0.162,4,synthetic
S0121,electronics,Retail,1649350.62,489084.71,0.357,1,synthetic
S0122,electronics,Retail,1660521.07,764222.11,0.148,4,synthetic
S0123,electronics,Retail,1685238.58,1975555.58,0.377,6,synthetic
S0124,electronics,Retail,1598464.56,686855.99,0.201,5,synthetic
S0125,electronics,Retail,1227124.11,573494.92,0.335,3,synthetic
S0126,electronics,Retail,1209079.52,1201986.62,0.142,4,synthetic
S0127,electronics,Retail,1383961.53,1420485.51,0.177,2,synthetic
S0128,electronics,Retail,1225933.99,659497.56,0.363,4,synthetic
S0129,electronics,Retail,1074572.29,677236.85,0.377,2,synthetic
S0130,electronics,Retail,664496.6,754914.86,0.121,2,synthetic
S0131,electronics,Retail,1370503.42,1597829.57,0.348,1,synthetic
S0132,electronics,Retail,812565.55,722887.16,0.19,3,synthetic
S0133,electronics,Retail,982333.41,328381.24,0.36,1,synthetic
S0134,electronics,Retail,1602732.95,1584853.52,0.124,1,synthetic
S0135,electronics,Retail,714951.4,602674.89,0.218,3,synthetic
S0136,electronics,Retail,1139216.34,535173.24,0.217,3,synthetic
S0137,electronics,Retail,882927.11,1044532.89,0.371,0,synthetic
S0138,electronics,Retail,1320921.98,1201769.81,0.257,1,synthetic
S0139,electronics,Retail,1316581.49,562727.83,0.399,2,synthetic
S0140,electronics,Retail,1038113.0,1079753.27,0.238,2,synthetic
S0141,electronics,Retail,1657511.54,2249259.94,0.344,3,synthetic
S0142,electronics,Retail,1793898.72,1141962.06,0.306,5,synthetic
S0143,electronics,Retail,809548.97,450015.62,0.312,3,synthetic
S0144,electronics,Retail,1737626.63,1986818.0,0.181,2,synthetic
S0145,electronics,Retail,1258270.28,921361.14,0.284,4,synthetic
S0146,electronics,Retail,773749.59,965415.08,0.32,4,synthetic
S0147,electronics,Retail,1081895.68,1159132.17,0.119,4,synthetic
S0148,electronics,Retail,1122532.97,764315.72,0.167,3,synthetic
S0149,electronics,Retail,667787.11,422559.67,0.206,6,synthetic
S0150,wholesaler,Wholesale,3014175.35,961238.42,0.894,2,synthetic
S0151,wholesaler,Wholesale,1709973.31,1111031.41,0.909,4,synthetic
S0152,wholesaler,Wholesale,3256106.47,3394437.29,0.714,1,synthetic
S0153,wholesaler,Wholesale,2772588.76,3684123.79,0.814,2,synthetic
S0154,wholesaler,Wholesale,1756533.78,1818475.42,0.814,3,synthetic
S0155,wholesaler,Wholesale,3467703.3,3242800.25,0.925,2,synthetic
S0156,wholesaler,Wholesale,2273684.41,2243879.77,0.74,2,synthetic
S0157,wholesaler,Wholesale,1505237.8,2201718.49,0.839,2,synthetic
S0158,wholesaler,Wholesale,2344508.6,964038.59,0.852,5,synthetic
S0159,wholesaler,Wholesale,2049116.22,1417160.82,0.87,2,synthetic
S0160,wholesaler,Wholesale,2275503.15,2629924.4,0.869,1,synthetic
S0161,wholesaler,Wholesale,2798240.47,2017236.55,0.84,2,synthetic
S0162,wholesaler,Wholesale,2783891.52,1469001.61,0.71,3,synthetic
S0163,wholesaler,Wholesale,2076653.49,690142.19,0.884,0,synthetic
S0164,wholesaler,Wholesale,3386383.84,4390419.24,0.926,4,synthetic
S0165,wholesaler,Wholesale,2521857.93,2699055.83,0.706,1,synthetic
S0166,wholesaler,Wholesale,2779579.99,1638490.84,0.895,2,synthetic
S0167,wholesaler,Wholesale,2859774.9,3429070.16,0.757,4,synthetic
S0168,wholesaler,Wholesale,3853635.9,3800919.76,0.71,3,synthetic
S0169,wholesaler,Wholesale,3074638.05,2095168.36,0.889,4,synthetic
S0170,wholesaler,Wholesale,2355359.48,2797301.61,0.721,3,synthetic
S0171,wholesaler,Wholesale,3503240.76,1181402.98,0.893,2,synthetic
S0172,wholesaler,Wholesale,3476400.72,4141084.96,0.835,0,synthetic
S0173,wholesaler,Wholesale,3496387.93,4646758.58,0.885,3,synthetic
S0174,wholesaler,Wholesale,2982519.58,3699904.61,0.947,1,synthetic
S0175,wholesaler,Wholesale,3777827.12,4008890.44,0.856,2,synthetic
S0176,wholesaler,Wholesale,2013797.64,895551.03,0.701,4,synthetic
S0177,wholesaler,Wholesale,2374382.55,2385725.78,0.887,2,synthetic
S0178,wholesaler,Wholesale,3253917.7,3985920.96,0.853,2,synthetic
S0179,wholesaler,Wholesale,2792806.65,3389835.71,0.85,3,synthetic
S0180,service_company,Professional services,1010606.41,803724.45,0.871,3,synthetic
S0181,service_company,Professional services,1292447.15,988106.34,0.922,2,synthetic
S0182,service_company,Professional services,1173538.22,1436088.66,0.913,4,synthetic
S0183,service_company,Professional services,1207774.6,1522952.08,0.917,1,synthetic
S0184,service_company,Professional services,414145.02,461797.23,0.92,2,synthetic
S0185,service_company,Professional services,1377621.18,1665228.91,0.974,2,synthetic
S0186,service_company,Professional services,1351746.58,1548234.83,0.948,2,synthetic
S0187,service_company,Professional services,733351.25,396243.22,0.913,2,synthetic
S0188,service_company,Professional services,1071890.66,1076558.19,0.816,1,synthetic
S0189,service_company,Professional services,902518.22,492534.89,0.974,4,synthetic
S0190,service_company,Professional services,1222568.13,1302475.26,0.973,7,synthetic
S0191,service_company,Professional services,895040.73,836350.01,0.928,1,synthetic
S0192,service_company,Professional services,796616.01,1033975.22,0.89,1,synthetic
S0193,service_company,Professional services,564468.45,527772.29,0.876,1,synthetic
S0194,service_company,Professional services,850753.9,1107892.77,0.786,5,synthetic
S0195,service_company,Professional services,1298135.63,1886593.56,0.75,3,synthetic
S0196,service_company,Professional services,733787.6,600861.21,0.936,4,synthetic
S0197,service_company,Professional services,934228.99,1222197.23,0.783,1,synthetic
S0198,service_company,Professional services,1157604.25,1012982.47,0.773,3,synthetic
S0199,service_company,Professional services,1284809.98,1420340.23,0.937,2,synthetic
S0200,service_company,Professional services,1198374.99,732240.15,0.885,3,synthetic
S0201,service_company,Professional services,702760.22,817471.84,0.832,3,synthetic
S0202,service_company,Professional services,930307.26,1372332.41,0.933,2,synthetic
S0203,service_company,Professional services,1194069.48,1354378.89,0.92,1,synthetic
S0204,service_company,Professional services,421132.94,603432.15,0.897,0,synthetic
S0205,service_company,Professional services,454487.5,374880.45,0.855,2,synthetic
S0206,service_company,Professional services,1282782.57,1594828.86,0.776,1,synthetic
S0207,service_company,Professional services,915677.68,915036.69,0.933,1,synthetic
S0208,service_company,Professional services,755079.42,369992.5,0.917,1,synthetic
S0209,service_company,Professional services,1297439.08,1404383.59,0.796,4,synthetic
