record_id,sector,employees,month,revenue_usd,opex_usd,accounts_receivable_days,inventory_days,loan_balance_usd,owner_injections_usd,cashflow_stress_next_month
R00047,Healthcare,118,2024-04,109885.16,113983.2,40,56,43582.95,0,1
R00048,Retail,120,2024-01,110982.26,113355.65,47,55,75144.28,11560.47,1
R00049,Logistics,58,2025-04,45651.82,36420.72,46,5,70624.2,0,0
R00050,Healthcare,94,2025-04,78430.5,81017.23,24,12,14602.72,2711.29,0
R00051,Logistics,82,2024-10,68572.16,63791.67,24,19,36571.7,4344.13,0
R00052,Hospitality,56,2025-07,47270.86,29001.53,42,23,8258.34,7978.01,0
R00053,IT Services,105,2025-05,85626.3,86495.55,41,56,26083.48,2730.8,1
R00054,Hospitality,53,2024-01,41690.62,32361.97,51,10,17486.55,0,0
R00055,Manufacturing,5,2024-04,14579.31,15303.32,76,15,65023.18,12231.74,0
R00056,Hospitality,15,2024-07,18790.34,13459.34,51,53,58223.68,2936.88,1
R00057,Healthcare,46,2024-03,47575.26,41870.72,57,22,36171.32,1498.27,0
R00058,IT Services,6,2024-02,4000,3399.88,47,0,28848.04,560.22,0
R00059,IT Services,41,2025-01,39621.71,41937.85,28,10,28579.19,7655.99,0
R00060,Retail,22,2024-09,36270.68,23095.98,18,1,17698.61,8464.03,0
R00061,Logistics,95,2025-07,81812.91,61541.64,69,36,68578.46,77.15,0
R00062,Retail,114,2024-02,93054.35,81238.51,46,17,48597.74,1795.55,0
R00063,IT Services,69,2024-02,60932.07,36636.78,18,57,47315.0,5455.64,0
R00064,Hospitality,30,2024-10,25112.78,19643.88,38,65,46470.99,0,1
R00065,IT Services,107,2024-06,83054.71,60312.47,28,21,26200.9,0,0
R00066,Healthcare,111,2024-10,89730.06,55401.9,10,32,0,0,0
R00067,Hospitality,96,2024-03,93763.27,82966.36,69,54,60614.8,0,1
R00068,Healthcare,93,2025-07,78080.03,58585.5,54,38,32503.68,3768.29,0
R00069,Logistics,56,2025-02,50566.66,36252.73,50,61,52828.57,8472.39,0
R00070,Manufacturing,92,2025-04,72164.3,65087.64,34,22,23281.25,4673.74,1
R00071,Hospitality,9,2025-03,22581.69,20889.4,38,43,20187.89,319.32,0
R00072,Retail,68,2025-07,58749.13,45002.87,39,7,6228.33,0,1
R00073,Healthcare,78,2025-04,61148.47,56687.98,34,49,4518.92,0,0
R00074,Manufacturing,84,2024-10,71663.78,41970.18,55,46,12718.96,790.68,1
R00075,Logistics,46,2024-02,46864.08,47044.68,56,28,34905.61,6108.83,0
R00076,Logistics,56,2024-03,48787.71,52388.4,55,24,78348.4,441.9,0
R00077,Logistics,87,2024-07,74151.48,63132.51,19,24,0,0,0
R00078,Logistics,92,2025-04,70612.96,47254.76,44,50,50193.32,7948.41,0
R00079,Manufacturing,6,2025-04,8840.19,6749.7,30,56,27666.6,0,0
R00080,IT Services,93,2024-10,78230.89,72506.4,28,38,48344.11,3066.93,0
R00081,Hospitality,29,2025-02,40358.66,27897.92,41,37,52901.84,2144.26,1
R00082,Manufacturing,53,2024-12,48183.77,35316.51,41,60,34776.64,2652.32,0
R00083,Healthcare,97,2024-09,74868.31,47093.84,25,29,21392.05,7541.8,0
R00084,IT Services,65,2024-03,54247.61,43354.5,83,28,55894.79,8553.69,0
R00085,Healthcare,10,2025-07,22082.53,18611.35,42,40,10717.76,3178.07,0
R00086,Healthcare,33,2024-08,25574.57,22477.7,50,6,6956.36,0,0
R00087,Logistics,99,2025-01,86569.74,60848.62,12,31,49935.47,0,0
R00088,Healthcare,69,2025-02,62917.79,54765.31,24,24,53742.05,6416.6,0
R00089,Healthcare,71,2025-08,86490.98,65239.83,72,27,16836.22,10957.03,0
R00090,Logistics,33,2024-01,36533.11,29955.73,50,25,26326.6,1228.41,0
R00091,Logistics,51,2024-12,52711.64,54681.86,34,6,55210.0,12357.01,0
R00092,Logistics,10,2024-03,6630.72,5640.03,10,42,55023.09,8469.52,0
R00093,Healthcare,117,2024-08,104336.0,84350.85,44,60,29800.61,0,0
R00094,IT Services,92,2024-09,74785.02,65876.4,86,55,42276.41,2856.28,0
R00095,Healthcare,119,2025-02,77330.08,67051.33,55,16,27989.42,0,0
R00096,Logistics,23,2025-04,35808.47,38217.78,44,34,30472.64,0,0
R00097,Retail,66,2024-07,60683.1,51221.13,52,24,67377.14,0,0
R00098,IT Services,21,2024-07,12729.33,11076.56,50,29,17133.5,6832.21,0
R00099,Healthcare,79,2024-10,57536.28,37612.14,33,5,57491.54,2701.11,1
R00100,Logistics,110,2025-08,91714.38,63586.56,24,5,0,1588.37,1
R00101,Manufacturing,106,2024-01,78367.84,62447.01,28,17,658.88,6688.83,0
R00102,Healthcare,44,2025-08,52796.08,32332.21,38,32,8075.3,2897.83,0
R00103,Retail,65,2024-02,52206.74,37774.09,47,31,18132.13,237.22,0
R00104,Healthcare,65,2025-02,61828.68,51301.38,57,15,22493.13,3850.44,1
R00105,IT Services,42,2024-01,45522.73,41766.28,27,28,13787.42,3555.91,1
R00106,Logistics,20,2025-04,44987.19,36444.45,35,32,61365.84,0,0
R00107,Logistics,100,2025-01,90541.12,78001.28,28,45,6098.75,4719.66,0
R00108,Retail,86,2025-04,69904.79,61318.27,75,30,0,2098.84,1
R00109,Manufacturing,46,2025-07,44598.1,34843.23,35,52,0,0,0
R00110,IT Services,31,2024-11,11020.19,11166.9,46,21,46497.0,5730.98,0
R00111,Logistics,26,2025-07,28606.48,20935.76,47,79,23016.59,211.91,1
R00112,Logistics,50,2024-03,59809.01,54305.21,52,18,21699.8,1195.41,1
R00113,Healthcare,43,2024-03,32918.24,34105.99,44,11,37562.76,0,0
R00114,Hospitality,4,2025-05,4000,3998.96,43,16,63601.86,0,1
R00115,Logistics,112,2025-08,89406.66,87927.92,39,24,28007.73,8944.33,0
R00116,Logistics,32,2025-07,9526.55,9492.35,46,39,52435.16,6585.24,0
R00117,Manufacturing,80,2024-02,68913.53,53632.78,10,0,32953.03,3759.06,0
R00118,Healthcare,49,2024-04,60357.18,39368.22,34,27,29160.79,3985.91,0
R00119,Manufacturing,76,2025-08,75780.5,45975.12,52,21,6205.46,2802.24,0
R00120,IT Services,73,2024-12,51724.14,31757.64,51,25,83609.81,3887.65,0
R00121,IT Services,42,2024-10,27355.73,18420.62,44,0,35122.29,13547.98,0
R00122,Retail,70,2024-12,67566.7,55131.9,30,43,42405.35,11780.48,0
R00123,Healthcare,53,2024-08,59673.95,64426.12,38,25,58683.03,3509.14,1
R00124,Manufacturing,120,2024-01,98821.75,73846.09,19,40,51260.35,0,1
R00125,Hospitality,47,2025-04,30631.02,30823.55,18,10,5880.6,0,0
R00126,Hospitality,76,2025-07,69518.49,64636.39,39,36,12739.51,0,0
R00127,IT Services,110,2024-01,78799.45,58532.49,25,43,65201.59,3619.55,0
R00128,Manufacturing,78,2024-06,54929.24,35285.16,49,42,40572.17,0,0
R00129,Healthcare,35,2024-05,31332.38,19436.41,28,50,50274.7,7594.0,0
R00130,Hospitality,33,2024-01,35683.25,29348.79,47,51,0,466.1,0
R00131,Retail,81,2024-07,78039.49,49076.65,27,23,101175.31,3003.82,0
R00132,Manufacturing,42,2025-02,50622.15,39127.81,47,0,45955.25,7413.5,0
R00133,Retail,43,2024-02,24423.54,20912.2,58,8,50214.39,2851.56,0
R00134,Logistics,9,2024-04,4000,3751.06,56,15,6003.55,10515.52,0
R00135,Healthcare,44,2024-11,32474.79,33327.24,41,58,10525.58,2162.0,0
R00136,Manufacturing,61,2025-08,67319.22,57236.69,34,25,1809.14,3751.03,0
R00137,Retail,95,2024-10,93367.72,95231.02,25,64,28869.65,8039.36,0
R00138,Retail,37,2024-01,44574.88,35385.45,57,41,19785.07,1089.53,0
R00139,Manufacturing,114,2024-11,103825.51,81763.94,10,39,53699.49,0,0
R00140,Manufacturing,33,2025-08,37731.67,36548.35,28,14,0,3120.96,0
R00141,Logistics,82,2024-04,79096.73,47677.53,24,20,18557.08,10113.83,0
R00142,Retail,109,2025-05,82245.76,65298.18,45,45,29359.01,11644.06,0
R00143,Healthcare,85,2024-12,65687.78,67214.88,47,15,29728.46,3813.93,0
R00144,Manufacturing,99,2025-02,90217.3,61647.11,51,36,28410.56,1685.16,0
R00145,Logistics,17,2024-07,29421.42,30255.46,10,39,59455.07,0,0
R00146,IT Services,60,2024-03,54190.6,36058.72,51,55,65489.45,0,0
R00147,Manufacturing,81,2024-07,63040.84,54138.38,10,40,19967.3,0,0
R00148,IT Services,18,2024-10,17676.73,12156.88,35,12,23281.63,0,1
R00149,Manufacturing,60,2025-03,50307.61,34091.1,70,4,39583.39,0,0
R00150,Manufacturing,65,2024-05,63937.22,55937.73,40,22,71344.84,9789.47,0
R00151,Retail,45,2024-12,49340.5,43353.53,52,26,55758.46,0,1
R00152,Retail,19,2025-03,11065.9,9261.45,26,34,34938.27,4671.63,0
R00153,Healthcare,9,2024-12,24838.66,19133.65,24,20,27542.82,1929.58,0
R00154,Retail,110,2025-01,96338.27,64508.89,51,37,20371.16,641.72,0
R00155,Healthcare,90,2025-08,102476.54,77405.82,21,16,37514.19,0,0
R00156,Logistics,14,2024-12,29351.08,19982.32,55,37,65259.68,5617.72,0
R00157,Healthcare,64,2024-12,47758.74,34842.21,20,19,52167.81,703.86,0
R00158,IT Services,44,2024-06,46663.73,39482.57,45,47,42037.75,8523.8,0
R00159,IT Services,79,2025-06,55852.9,55989.85,54,5,31747.84,3300.01,0
R00160,Logistics,42,2025-08,50394.89,42570.15,54,5,69575.65,2141.09,1
R00161,IT Services,7,2024-01,11624.64,8554.17,39,41,27575.09,1223.61,0
R00162,IT Services,36,2024-08,40568.47,30783.71,35,1,13407.88,0,0
R00163,Hospitality,30,2025-04,35817.56,32202.66,42,7,61425.26,13628.6,0
R00164,IT Services,31,2024-02,56525.4,56319.82,28,17,33795.65,6061.03,0
R00165,Manufacturing,45,2024-09,35736.55,24905.23,32,36,79820.31,6885.03,0
R00166,IT Services,78,2024-07,79508.49,54305.53,67,20,25844.55,5561.21,0
R00167,Healthcare,101,2025-01,80812.0,54739.57,53,10,0,0,0
R00168,Retail,108,2024-11,85064.12,51971.37,59,31,31230.04,473.08,0
R00169,Healthcare,14,2024-07,17767.1,11321.68,63,36,19081.21,4573.75,0
R00170,Manufacturing,58,2024-06,39591.62,30231.9,37,33,9288.18,0,0
R00171,IT Services,57,2025-08,59733.72,50774.21,43,11,7061.35,5711.1,0
R00172,Logistics,119,2025-07,106722.16,94770.06,18,22,53012.89,1246.77,0
R00173,IT Services,24,2024-12,27826.49,22853.72,43,38,19320.88,0,0
R00174,IT Services,43,2024-07,33090.36,20882.24,11,25,0,2227.63,0
R00175,Healthcare,71,2024-03,65210.77,51628.09,56,28,26769.49,3318.02,1
R00176,Healthcare,34,2024-09,33851.14,23433.44,40,0,12578.63,2580.32,0
R00177,IT Services,25,2024-10,33376.51,27891.51,44,35,15626.28,0,0
R00178,Healthcare,75,2024-05,50706.16,42250.41,36,15,9082.95,5477.97,0
R00179,Hospitality,49,2024-03,55324.18,38038.98,65,19,24031.22,1146.94,0
R00180,IT Services,48,2025-06,49712.33,30403.35,54,77,41191.98,0,0
R00181,Manufacturing,95,2025-02,68869.49,64492.37,29,75,27933.99,2924.53,0
R00182,Hospitality,117,2024-06,99922.19,63220.71,16,20,73186.54,6752.82,0
R00183,Hospitality,116,2024-05,98949.17,86191.06,44,36,32247.63,9771.95,0
R00184,Hospitality,27,2024-05,37646.61,24720.49,31,39,34078.49,5334.67,1
R00185,Manufacturing,55,2024-04,48671.16,30998.45,12,26,51100.4,0,1
R00186,Retail,109,2024-04,91034.12,80923.36,10,30,6762.31,3208.29,1
R00187,Hospitality,84,2024-11,63601.78,43505.34,56,14,44432.51,3933.76,0
R00188,Logistics,48,2024-07,49258.86,48103.66,18,41,45037.7,9900.67,0
R00189,Manufacturing,14,2024-11,36539.81,27427.25,46,45,48153.79,6145.4,1
R00190,Healthcare,46,2025-01,55038.29,35710.1,76,19,31708.21,0,0
R00191,Logistics,3,2025-06,23687.97,17644.37,16,16,104383.23,2332.8,0
R00192,IT Services,58,2025-07,50730.18,42330.0,60,24,15780.08,6691.88,0
R00193,Healthcare,53,2025-07,36608.51,25210.9,29,19,33230.75,0,0
R00194,Healthcare,40,2024-03,32514.6,27994.41,49,3,33279.76,5228.89,0
R00195,IT Services,79,2024-07,66851.74,43521.15,36,41,46776.12,0,0
R00196,Logistics,118,2025-07,97194.37,101180.12,25,32,49459.79,11852.54,1
R00197,Hospitality,80,2024-03,49164.13,40846.11,62,43,0,0,0
R00198,Retail,14,2024-10,26717.65,20642.18,43,24,23384.08,0,0
R00199,Retail,92,2024-01,64077.13,43788.55,18,14,19047.07,0,0
R00200,Hospitality,46,2025-03,54523.14,41264.93,15,28,68011.11,193.34,0
R00201,Hospitality,45,2024-11,39402.66,40991.93,36,5,26051.21,853.04,0
R00202,Manufacturing,114,2024-06,101233.13,85106.85,48,65,42063.85,6245.94,0
R00203,Logistics,97,2025-05,87411.72,88715.03,47,45,24566.96,0,0
R00204,Logistics,16,2025-07,25915.32,22177.77,36,22,0,0,0
R00205,Retail,17,2024-08,14173.27,10360.54,65,28,35951.94,4345.08,1
R00206,IT Services,89,2024-09,63562.61,45327.75,21,7,70995.95,1724.64,0
R00207,Hospitality,12,2024-10,21235.39,16690.29,32,12,41234.54,2663.66,0
R00208,Retail,46,2025-03,48795.58,33470.89,53,20,42161.06,1083.14,1
R00209,Logistics,39,2024-11,35354.31,27000.3,26,29,66132.93,821.52,0
R00210,Logistics,99,2024-04,68303.97,60986.64,11,37,63373.71,2850.51,0
R00211,Logistics,73,2024-02,60242.34,39531.42,33,34,0,0,0
R00212,Logistics,80,2025-02,81461.67,80003.66,41,28,37005.84,0,0
R00213,Hospitality,89,2024-04,75109.08,47375.64,71,35,16635.45,7477.26,0
R00214,Logistics,59,2025-01,56984.63,34614.62,31,13,43074.5,8068.33,0
R00215,Retail,9,2025-04,10090.88,8212.52,60,11,37963.1,0,1
R00216,Hospitality,20,2024-11,26758.47,15994.6,47,36,35418.12,3542.62,0
R00217,Retail,51,2024-12,31702.53,22692.79,25,31,0,12319.29,0
R00218,Hospitality,14,2024-05,26866.31,23573.13,17,27,74860.1,2384.55,0
R00219,Healthcare,55,2024-10,45925.57,35086.1,30,30,31971.83,7545.42,0
R00220,Healthcare,91,2025-01,67768.07,58564.85,39,44,18882.63,5802.99,0
R00221,Hospitality,58,2024-06,45369.53,33258.63,39,48,9586.7,0,0
R00222,Healthcare,68,2024-11,72131.86,69061.45,44,35,27379.52,5798.45,0
R00223,IT Services,95,2025-03,84764.3,68101.94,62,18,24261.02,2689.02,0
R00224,Healthcare,43,2025-01,57734.57,49356.74,50,27,50945.86,8986.84,0
R00225,Retail,40,2024-05,47582.59,29699.49,39,37,69758.08,4468.5,0
R00226,Retail,42,2025-01,26962.88,19161.03,28,31,54598.23,0,0
R00227,Hospitality,28,2025-01,37030.21,39226.7,56,14,9649.76,2847.49,0
R00228,Healthcare,80,2024-03,86030.53,76934.32,50,67,48296.94,1908.81,0
R00229,IT Services,26,2025-08,35296.1,37177.26,30,10,0,4521.36,0
R00230,IT Services,58,2024-07,61434.75,50338.57,32,47,44473.61,725.03,0
R00231,Logistics,3,2024-05,13279.84,9245.85,34,31,62305.11,4144.51,0
R00232,Logistics,106,2025-07,72977.2,45779.85,29,31,68816.56,939.75,0
R00233,Retail,52,2025-02,63028.77,45478.92,52,46,51660.85,8355.86,0
R00234,Retail,97,2025-02,90762.08,54530.6,42,42,96706.59,0,1
R00235,Retail,68,2025-07,71624.63,76304.99,18,12,40375.61,0,1
R00236,Healthcare,119,2024-11,101622.18,78267.51,72,45,9936.17,0,1
R00237,Healthcare,60,2024-08,50280.89,42918.79,38,8,77967.7,2307.72,1
R00238,Retail,39,2024-06,37971.32,35995.36,64,19,60307.19,0,0
R00239,Healthcare,9,2025-07,18796.34,18715.69,47,5,0,7409.83,0
R00240,Retail,109,2025-03,80736.21,60170.96,44,22,22611.86,0,1
R00241,Manufacturing,22,2024-03,26157.61,17848.03,42,12,56992.12,4010.77,0
R00242,IT Services,16,2024-08,31620.87,29387.49,60,21,66682.75,2696.69,0
R00243,Hospitality,72,2025-01,66448.15,43767.2,23,8,26462.22,13662.2,0
R00244,IT Services,3,2024-11,7593.63,6814.58,36,16,15334.19,556.04,0
R00245,Retail,16,2025-01,15391.05,15054.35,61,13,53611.08,6091.19,1
R00246,Healthcare,70,2024-04,78726.66,48203.79,19,0,16066.84,1669.03,0
R00247,Manufacturing,78,2024-08,56828.79,34391.61,38,39,10951.47,3591.6,1
R00248,Retail,85,2025-03,72244.03,49792.43,48,38,67398.54,6549.92,1
R00249,Manufacturing,78,2024-02,50426.72,29780.62,57,27,36043.36,0,0
R00250,Logistics,114,2025-06,99742.99,71929.02,41,64,0,6046.8,0
R00251,IT Services,116,2024-03,94421.39,88102.72,37,19,92947.06,2117.0,0
R00252,Logistics,89,2025-05,95212.25,73207.03,44,54,22356.14,4536.64,0
R00253,Retail,101,2024-11,75043.27,78962.17,66,17,14043.36,6591.1,1
R00254,Healthcare,64,2024-11,63914.58,59821.61,37,32,0,4558.27,0
R00255,Hospitality,79,2024-11,65654.46,42302.09,64,57,17049.31,4030.1,0
R00256,IT Services,66,2025-05,65594.64,55001.85,47,27,26481.97,10622.6,0
R00257,Hospitality,38,2025-08,37969.05,25630.35,31,18,4400.02,3543.95,1
R00258,Retail,86,2024-04,68503.93,43191.75,24,54,66889.51,0,0
R00259,Manufacturing,73,2024-08,60254.54,38585.24,43,35,31367.57,1216.67,0
R00260,Manufacturing,116,2024-02,98185.23,73533.26,48,0,6372.81,2683.56,1
R00261,Hospitality,71,2025-03,64993.0,45570.89,44,0,53985.5,0,0
R00262,IT Services,15,2025-05,29073.6,22634.42,23,17,59254.44,0,0
R00263,Healthcare,101,2025-03,79864.26,49900.69,22,50,50385.79,6079.93,0
R00264,Hospitality,98,2024-01,72281.21,43574.79,41,27,51383.69,0,0
R00265,Hospitality,83,2024-10,64834.5,54368.8,35,39,28999.29,1030.07,0
R00266,Manufacturing,83,2025-01,56906.82,58214.53,60,44,34627.28,2077.54,0
R00267,Retail,75,2024-01,51928.12,37821.12,43,34,5437.72,4071.17,0
R00268,Retail,14,2024-09,30153.64,26395.66,16,41,21011.5,856.09,0
R00269,IT Services,16,2024-01,17136.75,10681.76,34,19,22870.49,0,0
R00270,Manufacturing,52,2025-06,50115.78,46678.87,58,44,3136.9,7230.47,0
R00271,Retail,89,2025-05,88387.04,94303.55,23,47,22768.05,5713.06,0
R00272,Retail,16,2024-11,25527.87,21629.17,19,16,37888.0,6613.23,0
R00273,Hospitality,50,2025-01,29184.49,21437.3,50,28,20306.13,4990.96,0
R00274,Healthcare,22,2024-10,9340.23,5536.9,45,26,70261.81,3316.33,0
R00275,IT Services,17,2025-05,6913.0,6996.82,42,50,48963.58,4409.93,0
R00276,Logistics,120,2024-07,99168.77,76156.64,42,19,21200.15,0,0
R00277,Manufacturing,110,2025-03,78386.86,73944.13,70,51,18643.13,4337.78,1
R00278,Healthcare,14,2024-09,11308.33,11234.6,49,0,9755.87,13460.28,0
R00279,Retail,15,2024-05,15939.54,12351.2,26,12,40715.68,4562.81,0
R00280,Logistics,7,2024-07,4000,4194.39,58,30,14691.07,0,0
R00281,Manufacturing,100,2024-05,76662.33,68656.73,51,39,0,5132.71,0
R00282,Hospitality,47,2024-12,39450.76,31963.54,42,30,24112.18,0,0
R00283,Healthcare,114,2025-05,100794.69,84328.1,13,27,42451.04,1350.64,0
R00284,Logistics,97,2025-04,80423.08,85099.0,39,0,51904.13,13697.12,0
R00285,Logistics,72,2024-07,58659.38,59477.04,45,27,33168.85,2251.08,0
R00286,Logistics,4,2024-10,4851.87,4184.98,38,33,0,3518.23,0
R00287,Healthcare,109,2024-01,88001.32,76000.03,10,32,25140.4,0,0
R00288,Logistics,21,2024-11,41077.45,40956.1,21,34,14325.46,0,0
R00289,Logistics,81,2025-07,81533.36,66080.82,47,26,33308.78,0,0
R00290,Hospitality,119,2025-01,102960.78,65453.18,41,0,18435.14,4708.12,0
R00291,Retail,20,2025-03,6443.16,5072.9,58,17,43188.82,9433.36,0
R00292,Healthcare,120,2024-06,94137.16,87988.49,30,50,27275.46,0,0
R00293,Healthcare,91,2024-09,73167.58,73702.01,43,21,2254.57,0,0
R00294,Manufacturing,15,2024-02,21892.57,20252.35,37,61,46167.13,0,0
R00295,Retail,104,2025-06,62149.35,46545.04,30,19,53011.54,4956.27,0
R00296,IT Services,98,2025-03,87933.31,92878.2,61,1,64371.07,2294.49,0
R00297,Retail,69,2025-03,73594.88,74475.97,32,58,64828.47,7479.08,0
R00298,Logistics,120,2025-06,105689.8,76011.05,36,13,40449.05,4810.73,0
R00299,Manufacturing,112,2025-01,87823.74,89903.25,57,40,66515.27,12502.78,0
R00300,Hospitality,25,2024-07,17633.04,12977.56,15,22,42513.64,6993.18,0
R00301,Manufacturing,55,2025-01,43898.78,30448.96,23,53,45361.73,6834.79,0
R00302,Retail,86,2025-08,73055.61,60636.55,42,15,38218.8,0,0
R00303,IT Services,44,2025-07,37527.46,32313.53,59,44,50904.77,2418.81,0
R00304,Healthcare,3,2025-05,4555.78,3947.35,67,44,4020.82,215.91,0
R00305,Retail,111,2024-07,97446.64,70109.47,10,21,38005.63,8838.19,0
R00306,Retail,94,2025-08,79914.71,79913.19,10,54,19605.56,9285.76,1
R00307,Retail,7,2024-09,14537.75,11729.29,41,48,18736.72,1732.63,1
R00308,Manufacturing,41,2025-03,30421.82,21815.22,21,57,46780.49,0,0
R00309,Logistics,117,2024-06,100575.02,66115.84,51,55,2754.17,5189.47,0
R00310,Hospitality,108,2025-04,89601.96,93233.13,44,55,23600.87,7510.95,1
R00311,Manufacturing,93,2025-05,66210.3,70402.19,55,22,21794.94,1516.24,0
R00312,IT Services,80,2025-04,62456.74,42261.29,40,15,0,5193.73,0
R00313,Manufacturing,63,2025-05,49775.1,38224.59,30,38,19064.56,4762.22,0
R00314,IT Services,39,2025-03,30910.72,20342.49,26,9,4698.35,2703.73,1
R00315,Manufacturing,48,2024-12,31388.65,22690.47,42,33,6599.95,850.87,0
R00316,Healthcare,14,2024-05,9830.32,9514.42,27,20,18060.41,4066.5,0
R00317,Hospitality,111,2024-11,83561.45,88269.24,19,41,46989.1,5213.86,0
R00318,Manufacturing,16,2025-06,29988.09,18689.82,19,32,39554.93,17338.01,1
R00319,Retail,118,2024-07,86223.34,62967.87,41,57,19867.14,0,1
R00320,Logistics,11,2025-02,9588.11,8072.58,13,39,79478.36,2975.59,0
R00321,Hospitality,10,2024-01,24935.53,20765.27,22,10,31765.01,0,0
R00322,Hospitality,45,2024-05,28083.72,25921.95,68,34,21615.35,7971.15,0
R00323,Hospitality,108,2024-03,94585.44,91352.0,43,17,60849.28,0,1
R00324,Logistics,19,2025-04,26688.42,16329.05,57,11,38025.19,8432.41,0
R00325,IT Services,82,2024-02,83813.93,79283.11,46,17,13528.68,5386.34,0
R00326,IT Services,103,2024-02,65555.68,63873.45,10,29,32655.43,0,0
R00327,IT Services,16,2024-12,36523.23,27296.98,38,24,21535.23,1621.2,1
R00328,Hospitality,45,2024-11,44100.48,28977.9,24,3,17168.98,6975.09,0
R00329,Healthcare,17,2024-03,15924.58,9281.52,47,32,22076.56,8319.63,1
R00330,Logistics,67,2024-09,48706.84,29472.31,55,51,28708.28,2134.27,0
R00331,Logistics,59,2024-06,59973.32,60382.82,36,10,63099.69,3146.47,0
R00332,Healthcare,32,2024-08,45707.8,46700.75,46,31,0,0,0
R00333,IT Services,56,2025-08,37311.23,40154.88,57,18,22265.2,0,0
R00334,Manufacturing,69,2024-11,53009.28,52293.23,30,28,61171.49,2395.62,0
R00335,Logistics,57,2024-09,53444.8,48309.02,44,3,42078.17,2775.67,0
